date,potential_water_deficit
2004-07-10,9.3323
2004-07-11,1.95
2004-07-12,-4.2141
2004-07-13,3.0281
2004-07-14,-2.2635
2004-07-15,0.6668
2004-07-16,-0.478
2004-07-17,7.7707
2004-07-18,3.04
2004-07-19,-0.0935
2004-07-20,-1.9503
2004-07-21,-3.8577
2004-07-22,3.9873
2004-07-23,7.8045
2004-07-24,-2.9205
2004-07-25,-2.7325
2004-07-26,0.4714
2004-07-27,4.4502
2004-07-28,2.4782
2004-07-29,2.0563
2004-07-30,2.1304
2004-07-31,-2.0996
2004-08-01,-2.936
2004-08-02,-1.472
2004-08-03,-0.7764
2004-08-04,1.1258
2004-08-05,1.2876
2004-08-06,-1.634
2004-08-07,11.3562
2004-08-08,6.9434
2004-08-09,-3.2377
2004-08-10,-3.1997
2004-08-11,0.0476
2004-08-12,5.444
2004-08-13,-3.8478
2004-08-14,-1.145
2004-08-15,0.621
2004-08-16,-0.4399
2004-08-17,7.3142
2004-08-18,10.3815
2004-08-19,5.5815
2004-08-20,3.2811
2004-08-21,1.7629
2004-08-22,-1.8388
2004-08-23,-0.1648
2004-08-24,-1.937
2004-08-25,5.2907
2004-08-26,-0.9434
2004-08-27,-0.4211
2004-08-28,-3.0398
2004-08-29,-3.6042
2004-08-30,-5.1419
2004-08-31,7.7796
2004-09-01,-3.8258
2004-09-02,0.9206
2004-09-03,1.7071
2004-09-04,-1.3372
2004-09-05,-3.7585
2004-09-06,5.1339
2004-09-07,1.7178
2004-09-08,3.0187
2004-09-09,-4.9409
2004-09-10,-3.2874
2004-09-11,2.4278
2004-09-12,-4.2568
2004-09-13,-2.8839
2004-09-14,4.9179
2004-09-15,-4.7381
2004-09-16,-3.8064
2004-09-17,-4.5859
2004-09-18,-3.5943
2004-09-19,-1.7635
2004-09-20,-3.9624
2004-09-21,-0.6982
2004-09-22,0.0299
2004-09-23,8.392
2004-09-24,-0.354
2004-09-25,-2.137
2004-09-26,-1.0765
2004-09-27,-1.8312
2004-09-28,-0.5458
2004-09-29,6.6435
2004-09-30,2.663
2004-10-01,5.4498
2004-10-02,0.353
2004-10-03,-2.6225
2004-10-04,-4.9243
2004-10-05,-4.4118
2004-10-06,-4.7886
2004-10-07,-4.9099
2004-10-08,-4.1914
2004-10-09,-3.0218
2004-10-10,0.4169
2004-10-11,-3.1058
2004-10-12,-0.4317
2004-10-13,-3.9128
