date,2m_temp
2003-10-20,29.9825
2003-10-21,29.3906
2003-10-22,29.2267
2003-10-23,30.892
2003-10-24,29.9965
2003-10-25,29.3666
2003-10-26,29.7262
2003-10-27,29.6294
2003-10-28,30.0865
2003-10-29,30.4753
2003-10-30,30.594
2003-10-31,28.5164
2004-07-01,28.5982
2004-07-02,29.7795
2004-07-03,29.243
2004-07-04,29.2326
2004-07-05,28.9308
2004-07-06,30.5284
2004-07-07,27.746
2004-07-08,28.8875
2004-07-09,27.8728
2004-07-10,28.8104
2004-07-11,27.4087
2004-07-12,28.9192
2004-07-13,29.6291
2004-07-14,28.4316
2004-07-15,25.2458
2004-07-16,27.0826
2004-07-17,28.192
2004-07-18,26.3762
2004-07-19,27.4511
2004-07-20,26.9452
2004-07-21,28.9436
2004-07-22,28.0058
2004-07-23,29.3266
2004-07-24,28.1623
2004-07-25,27.3872
2004-07-26,24.4676
2004-07-27,27.9979
2004-07-28,28.0822
2004-07-29,25.3864
2004-07-30,27.5542
2004-07-31,29.7148
2004-08-01,26.9687
2004-08-02,26.277
2004-08-03,24.8971
2004-08-04,24.4156
2004-08-05,26.2789
2004-08-06,27.0366
2004-08-07,25.9007
2004-08-08,25.5841
2004-08-09,26.039
2004-08-10,26.024
2004-08-11,25.2682
2004-08-12,26.5169
2004-08-13,26.8495
2004-08-14,27.4458
2004-08-15,25.0315
2004-08-16,25.8896
2004-08-17,26.8612
2004-08-18,26.6374
2004-08-19,25.6183
2004-08-20,24.8292
2004-08-21,26.2379
2004-08-22,27.2486
2004-08-23,28.1435
2004-08-24,28.2296
2004-08-25,27.6493
2004-08-26,27.5795
2004-08-27,27.1922
2004-08-28,26.2967
2004-08-29,28.2745
2004-08-30,29.026
2004-08-31,26.1985
2004-09-01,26.1677
2004-09-02,27.8293
2004-09-03,27.0904
2004-09-04,26.0621
2004-09-05,26.5047
2004-09-06,27.8632
2004-09-07,27.833
2004-09-08,26.7525
2004-09-09,26.6876
2004-09-10,28.421
2004-09-11,26.9891
2004-09-12,27.6579
2004-09-13,27.4576
2004-09-14,26.8929
2004-09-15,27.4608
2004-09-16,27.4531
2004-09-17,28.2754
2004-09-18,26.4943
2004-09-19,27.8936
2004-09-20,28.0936
2004-09-21,29.4936
2004-09-22,29.4849
2004-09-23,29.0668
2004-09-24,27.0539
2004-09-25,26.7915
2004-09-26,27.56
2004-09-27,27.626
2004-09-28,27.7225
2004-09-29,26.0441
2004-09-30,27.3685
2004-10-01,28.5091
2004-10-02,27.9707
2004-10-03,28.3803
2004-10-04,28.2678
2004-10-05,27.7853
2004-10-06,25.3939
2004-10-07,27.6532
2004-10-08,28.891
2004-10-09,28.8993
2004-10-10,28.0477
2004-10-11,27.1843
2004-10-12,27.761
2004-10-13,27.5652
2004-10-14,28.7159
2004-10-15,28.893
2004-10-16,28.7405
2004-10-17,29.2045
2004-10-18,27.6761
2004-10-19,28.5237
2004-10-20,28.4088
2004-10-21,28.3367
2004-10-22,28.9415
2004-10-23,28.1316
2004-10-24,29.9415
2004-10-25,29.9889
2004-10-26,29.387
2004-10-27,30.6118
2004-10-28,29.8315
2004-10-29,29.6158
2004-10-30,30.2644
2004-10-31,29.7181
2005-07-01,27.132
2005-07-02,28.756
2005-07-03,26.4479
2005-07-04,27.662
2005-07-05,26.9321
2005-07-06,24.3622
2005-07-07,24.2148
2005-07-08,28.0805
2005-07-09,27.0018
2005-07-10,25.1259
2005-07-11,27.6165
2005-07-12,26.4005
2005-07-13,24.6904
2005-07-14,26.3453
2005-07-15,29.4216
2005-07-16,28.8709
2005-07-17,25.0021
2005-07-18,23.6114
2005-07-19,27.4711
2005-07-20,28.5213
2005-07-21,26.8936
2005-07-22,26.5691
2005-07-23,28.1889
2005-07-24,28.21
2005-07-25,23.9699
2005-07-26,26.1856
2005-07-27,26.2314
2005-07-28,24.5682
2005-07-29,25.7799
2005-07-30,25.8509
2005-07-31,27.3186
2005-08-01,27.7423
2005-08-02,27.3156
2005-08-03,26.8009
2005-08-04,27.9934
2005-08-05,27.5424
2005-08-06,26.0907
2005-08-07,26.5463
2005-08-08,27.3221
2005-08-09,24.3614
2005-08-10,26.2058
2005-08-11,28.1635
2005-08-12,29.0077
2005-08-13,26.4326
2005-08-14,26.5468
2005-08-15,27.1369
2005-08-16,25.5839
2005-08-17,25.8598
2005-08-18,27.3047
2005-08-19,27.5978
2005-08-20,26.6949
2005-08-21,26.4857
2005-08-22,27.5932
2005-08-23,25.1389
2005-08-24,27.831
2005-08-25,27.3254
2005-08-26,24.3515
2005-08-27,24.7231
2005-08-28,26.1103
2005-08-29,26.6272
2005-08-30,25.4106
2005-08-31,25.921
2005-09-01,25.5967
2005-09-02,27.3105
2005-09-03,27.4041
2005-09-04,27.1399
2005-09-05,26.0528
2005-09-06,24.7742
2005-09-07,27.3816
2005-09-08,26.0857
2005-09-09,24.6663
2005-09-10,26.6036
2005-09-11,26.4866
2005-09-12,26.7863
2005-09-13,26.8534
2005-09-14,26.5048
2005-09-15,26.3256
2005-09-16,26.4758
2005-09-17,27.951
2005-09-18,26.562
2005-09-19,27.2357
2005-09-20,28.6353
2005-09-21,26.3382
2005-09-22,26.6285
2005-09-23,27.2841
2005-09-24,28.2121
2005-09-25,28.2
2005-09-26,26.7779
2005-09-27,27.049
2005-09-28,27.1974
2005-09-29,27.8646
2005-09-30,28.7276
2005-10-01,27.6217
2005-10-02,27.3626
2005-10-03,28.326
2005-10-04,29.3336
2005-10-05,29.4634
2005-10-06,28.1799
2005-10-07,28.6219
2005-10-08,28.5585
2005-10-09,28.1945
2005-10-10,28.5812
2005-10-11,29.8
2005-10-12,29.3598
2005-10-13,28.5041
2005-10-14,29.16
2005-10-15,27.8274
2005-10-16,29.4795
2005-10-17,29.0447
2005-10-18,28.6635
2005-10-19,29.5646
2005-10-20,29.6989
2005-10-21,28.809
2005-10-22,28.2729
2005-10-23,29.0058
2005-10-24,29.6013
2005-10-25,29.9509
2005-10-26,28.8746
2005-10-27,29.926
2005-10-28,29.0203
2005-10-29,29.5173
2005-10-30,29.4835
2005-10-31,28.9598
2006-07-01,30.3391
2006-07-02,29.4902
2006-07-03,29.673
2006-07-04,28.123
2006-07-05,27.8011
2006-07-06,26.9274
2006-07-07,27.5238
2006-07-08,26.8938
2006-07-09,26.1175
2006-07-10,28.4732
2006-07-11,27.9627
2006-07-12,24.9805
2006-07-13,27.5695
2006-07-14,29.1168
2006-07-15,27.8331
2006-07-16,27.9812
2006-07-17,28.7823
2006-07-18,27.2079
2006-07-19,27.3447
2006-07-20,26.3605
2006-07-21,28.4718
2006-07-22,27.5972
2006-07-23,29.4265
2006-07-24,27.4995
2006-07-25,26.1075
2006-07-26,27.7778
2006-07-27,28.023
